candidate_id,campaign_twitter,official_twitter,personal_twitter,tenure,party,gender,state,ballotpedia_url,name,incumbent,ethnicity,campaign_budget,has_twitter,num_tweets
0,JAverhart2020,,,,Democratic Party,Male,Alabama,https://ballotpedia.org/James_Averhart,James Averhart  ,FALSE,,,TRUE,94
1,RickCollins08,,,,Democratic Party,Male,Alabama,https://ballotpedia.org/Frederick_Collins_(Alabama),Frederick Collins  ,FALSE,,,TRUE,9
2,KianiGardner,,,,Democratic Party,Female,Alabama,https://ballotpedia.org/Kiani_Gardner,Kiani Gardner  ,FALSE,,,TRUE,376
3,PhyllisDHHall,,,,Democratic Party,Female,Alabama,https://ballotpedia.org/Phyllis_Harvey-Hall,Phyllis Harvey-Hall  ,FALSE,,,TRUE,435
4,olenate2020,,,,Democratic Party,Male,Alabama,https://ballotpedia.org/Nathan_Mathis,Nathan Mathis  ,FALSE,,,TRUE,34
5,VoteNeighbors,,,,Democratic Party,Male,Alabama,https://ballotpedia.org/Rick_Neighbors,Rick Neighbors  ,FALSE,,,TRUE,167
6,Sewell4Congress,RepTerriSewell,,2011 - Present,Democratic Party,Female,Alabama,https://ballotpedia.org/Terri_Sewell,Terri Sewell  (i)  ,TRUE,,,TRUE,701
7,drdia,,,,Democratic Party,Male,Alabama,https://ballotpedia.org/Adia_Winfrey,Adia Winfrey  ,FALSE,,,TRUE,0
8,,Robert_Aderholt,,1997 - Present,Republican Party,Male,Alabama,https://ballotpedia.org/Robert_Aderholt,Robert Aderholt  (i)  ,TRUE,,,TRUE,431
9,MoInTheHouse,RepMoBrooks,,2011 - Present,Republican Party,Male,Alabama,https://ballotpedia.org/Mo_Brooks,Mo Brooks  (i)  ,TRUE,,,TRUE,547
10,,,,,Republican Party,Male,Alabama,https://ballotpedia.org/Thomas_Brown_Jr._(Alabama),Thomas W. Brown Jr.  ,FALSE,,,FALSE,0
11,CarlForAlabama,RepJerryCarl,,2021 - Present,Republican Party,Male,Alabama,https://ballotpedia.org/Jerry_Carl,Jerry Carl  ,FALSE,,,TRUE,217
12,johncastorani,,,,Republican Party,Male,Alabama,https://ballotpedia.org/John_Castorani,John Castorani  ,FALSE,,,TRUE,399
13,JeffColemanAL,,JefffColeman,,Republican Party,Male,Alabama,https://ballotpedia.org/Jeff_Coleman_(Alabama),Jeff Coleman  ,FALSE,,,TRUE,299
14,TerriforAL02,,THasdorff,,Republican Party,Female,Alabama,https://ballotpedia.org/Terri_Hasdorff,Terri Hasdorff  ,FALSE,,,TRUE,39
15,BillHightowerAL,,,,Republican Party,Male,Alabama,https://ballotpedia.org/Bill_Hightower,Bill Hightower  ,FALSE,,,TRUE,420
16,,,,,Republican Party,Male,Alabama,https://ballotpedia.org/Troy_King,Troy King  ,FALSE,,,FALSE,0
17,,,,,Republican Party,Male,Alabama,https://ballotpedia.org/Wes_Lambert,Wes Lambert  ,FALSE,,,FALSE,0
18,LewisforAL,,,,Republican Party,Male,Alabama,https://ballotpedia.org/Chris_Lewis_(Alabama),Chris Lewis  ,FALSE,,,TRUE,106
19,RepBarryMoore,RepBarryMoore,,2021 - Present,Republican Party,Male,Alabama,https://ballotpedia.org/Barry_Moore_(Alabama),Barry Moore  ,FALSE,,,TRUE,0
20,Palmer4Alabama,USRepGaryPalmer,,2015 - Present,Republican Party,Male,Alabama,https://ballotpedia.org/Gary_Palmer,Gary Palmer  (i)  ,TRUE,,,TRUE,347
21,PringleforAL01,,,,Republican Party,Male,Alabama,https://ballotpedia.org/Chris_Pringle,Chris Pringle  ,FALSE,,,TRUE,119
22,BoRo71684016,,,,Republican Party,Male,Alabama,https://ballotpedia.org/Robert_Rogers,Robert Rogers  ,FALSE,,,TRUE,14
23,MikeRogersCamp,RepMikeRogersAL,,2003 - Present,Republican Party,Male,Alabama,https://ballotpedia.org/Mike_Rogers_(Alabama),Mike Rogers  (i)  ,TRUE,,,TRUE,520
24,JessicaTaylorAL,,,,Republican Party,Female,Alabama,https://ballotpedia.org/Jessica_Taylor_(Alabama),Jessica Taylor  ,FALSE,,,TRUE,416
25,RCVAlabama,,,,Independent,Male,Alabama,https://ballotpedia.org/Kaynen_Pellegrino,Kaynen Pellegrino  ,FALSE,,,TRUE,121
26,JPage4Congress,,,,Libertarian Party,Male,Alabama,https://ballotpedia.org/John_Page_(Alabama),John Page   ,FALSE,,,TRUE,59
27,DonYoungAK,repdonyoung,,1973 - Present,Republican Party,Male,Alaska,https://ballotpedia.org/Don_Young_(Alaska),Don Young  (i)  ,TRUE,,,TRUE,501
28,AlyseGalvin,,,,Nonpartisan,Male,Alaska,https://ballotpedia.org/Alyse_Galvin,Alyse Galvin   ,FALSE,,,TRUE,420
