,candidate_id,womens_rights_count,womens_rights_average_favorites,womens_rights_sum_favorites,womens_rights_average_retweets,womens_rights_sum_retweets,familycare_count,familycare_average_favorites,familycare_sum_favorites,familycare_average_retweets,familycare_sum_retweets,education_count,education_average_favorites,education_sum_favorites,education_average_retweets,education_sum_retweets,healthcare_count,healthcare_average_favorites,healthcare_sum_favorites,healthcare_average_retweets,healthcare_sum_retweets,military_count,military_average_favorites,military_sum_favorites,military_average_retweets,military_sum_retweets,economics_count,economics_average_favorites,economics_sum_favorites,economics_average_retweets,economics_sum_retweets,foreign_affairs_count,foreign_affairs_average_favorites,foreign_affairs_sum_favorites,foreign_affairs_average_retweets,foreign_affairs_sum_retweets,policing_count,policing_average_favorites,policing_sum_favorites,policing_average_retweets,policing_sum_retweets,covid_count,covid_average_favorites,covid_sum_favorites,covid_average_retweets,covid_sum_retweets,total_candidate_favorites,total_candidate_retweets,mean_candidate_favorites,mean_candidate_retweets,total_tweets,party,gender,masculine_count,feminine_count,masculine_total_engagement,feminine_total_engagement,masculine_average_engagement,feminine_average_engagement
0,1.0,1.0,5.0,5.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,35.0,35.0,14.0,14.0,2.0,13.5,27.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,4.0,12.75,51.0,7.5,30.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,13.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,1675,1238,11.879432624113475,8.78014184397163,141,Democratic Party,Female,5.0,5.0,109.0,104.0,21.8,20.8
1,3.0,2.0,45.0,90.0,20.5,41.0,3.0,17.0,51.0,8.0,24.0,1.0,9.0,9.0,14.0,14.0,4.0,44.5,178.0,37.0,148.0,1.0,58.0,58.0,35.0,35.0,5.0,38.8,194.0,24.4,122.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,13.0,8.0,8.0,1.0,33.0,33.0,25.0,25.0,6200,4001,23.04832713754647,14.87360594795539,269,Democratic Party,Male,7.0,10.0,430.0,555.0,61.42857142857143,55.5
2,6.0,0.0,0.0,0.0,0.0,0.0,5.0,27.2,136.0,12.4,62.0,6.0,48.833333333333336,293.0,22.0,132.0,12.0,82.91666666666667,995.0,43.25,519.0,1.0,21.0,21.0,7.0,7.0,14.0,50.92857142857143,713.0,28.428571428571427,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18866,10051,42.58690744920993,22.68848758465011,443,Democratic Party,Male,15.0,23.0,1139.0,2137.0,75.93333333333334,92.91304347826087
3,8.0,6.0,10.5,63.0,5.333333333333333,32.0,9.0,10.333333333333334,93.0,7.555555555555555,68.0,5.0,10.6,53.0,5.6,28.0,4.0,0.75,3.0,0.5,2.0,4.0,7.0,28.0,4.5,18.0,10.0,11.5,115.0,9.7,97.0,0.0,0.0,0.0,0.0,0.0,2.0,2.5,5.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,7330,4793,18.604060913705585,12.16497461928934,394,Democratic Party,Male,16.0,24.0,264.0,342.0,16.5,14.25
4,10.0,2.0,13.0,26.0,3.5,7.0,0.0,0.0,0.0,0.0,0.0,2.0,9.5,19.0,2.5,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.8,14.0,1.6,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989,458,7.666666666666667,3.550387596899225,129,Democratic Party,Female,5.0,5.0,22.0,57.0,4.4,11.4
5,16.0,0.0,0.0,0.0,0.0,0.0,8.0,13.375,107.0,2.25,18.0,2.0,3.5,7.0,1.0,2.0,4.0,26.0,104.0,10.25,41.0,4.0,5.25,21.0,2.5,10.0,7.0,9.142857142857142,64.0,3.5714285714285716,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2607,763,10.065637065637066,2.945945945945946,259,Republican Party,Male,11.0,14.0,120.0,279.0,10.909090909090908,19.928571428571427
6,18.0,2.0,233.5,467.0,39.0,78.0,4.0,36.25,145.0,9.25,37.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1620,420,14.210526315789474,3.6842105263157894,114,Republican Party,Male,3.0,7.0,7.0,728.0,2.3333333333333335,104.0
7,21.0,1.0,7.0,7.0,0.0,0.0,2.0,20.5,41.0,4.5,9.0,8.0,11.125,89.0,1.75,14.0,1.0,9.0,9.0,2.0,2.0,1.0,22.0,22.0,5.0,5.0,8.0,12.25,98.0,3.5,28.0,1.0,56.0,56.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3205,879,18.314285714285713,5.022857142857143,175,Republican Party,Male,10.0,12.0,219.0,171.0,21.9,14.25
8,23.0,1.0,36.0,36.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,27.0,54.0,6.5,13.0,1.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,19.75,79.0,9.25,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7510,3248,39.9468085106383,17.27659574468085,188,Nonpartisan,Male,4.0,4.0,116.0,134.0,29.0,33.5
9,27.0,0.0,0.0,0.0,0.0,0.0,2.0,8.5,17.0,1.5,3.0,2.0,4.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,8.25,33.0,3.25,13.0,5.0,10.4,52.0,3.8,19.0,0.0,0.0,0.0,0.0,0.0,2.0,21.5,43.0,3.5,7.0,0.0,0.0,0.0,0.0,0.0,2633,773,15.957575757575757,4.684848484848485,165,Republican Party,Male,11.0,4.0,167.0,30.0,15.181818181818182,7.5
