Unnamed: 0,candidate_id,womens_rights_count,womens_rights_average_favorites,womens_rights_sum_favorites,womens_rights_average_retweets,womens_rights_sum_retweets,familycare_count,familycare_average_favorites,familycare_sum_favorites,familycare_average_retweets,familycare_sum_retweets,education_count,education_average_favorites,education_sum_favorites,education_average_retweets,education_sum_retweets,healthcare_count,healthcare_average_favorites,healthcare_sum_favorites,healthcare_average_retweets,healthcare_sum_retweets,military_count,military_average_favorites,military_sum_favorites,military_average_retweets,military_sum_retweets,economics_count,economics_average_favorites,economics_sum_favorites,economics_average_retweets,economics_sum_retweets,foreign_affairs_count,foreign_affairs_average_favorites,foreign_affairs_sum_favorites,foreign_affairs_average_retweets,foreign_affairs_sum_retweets,policing_count,policing_average_favorites,policing_sum_favorites,policing_average_retweets,policing_sum_retweets,covid_count,covid_average_favorites,covid_sum_favorites,covid_average_retweets,covid_sum_retweets,total_candidate_favorites,total_candidate_retweets,mean_candidate_favorites,mean_candidate_retweets,total_tweets,party,gender,masculine_count,feminine_count,masculine_total_engagement,feminine_total_engagement,masculine_average_engagement,feminine_average_engagement
0,0.0,1.0,9.0,9.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319,126,4.142857142857143,1.6363636363636365,77,Democratic Party,Male,2.0,2.0,18.0,13.0,9.0,6.5
1,2.0,1.0,16.0,16.0,3.0,3.0,7.0,47.85714285714285,335.0,3.571428571428572,25.0,2.0,22.0,44.0,5.5,11.0,2.0,7.5,15.0,3.5,7.0,0.0,0.0,0.0,0.0,0.0,3.0,29.66666666666667,89.0,7.666666666666668,23.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,1.0,1.0,2.0,4.5,9.0,2.0,4.0,6328,1287,30.423076923076927,6.1875,208,Democratic Party,Female,4.0,12.0,122.0,456.0,30.5,38.0
2,3.0,2.0,4.5,9.0,1.5,3.0,5.0,6.4,32.0,2.2,11.0,8.0,8.375,67.0,4.625,37.0,4.0,8.25,33.0,4.5,18.0,0.0,0.0,0.0,0.0,0.0,6.0,3.8333333333333335,23.0,1.3333333333333333,8.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,2.0,2.0,1.0,9.0,9.0,6.0,6.0,3133,1194,9.790625,3.73125,320,Democratic Party,Female,7.0,19.0,44.0,210.0,6.2857142857142865,11.052631578947368
3,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,23,1.52,0.92,25,Democratic Party,Male,0.0,1.0,0.0,0.0,,0.0
4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,2.0,4.0,12.5,50.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,16.0,1.5,6.0,1015,499,6.858108108108107,3.371621621621621,148,Democratic Party,Male,5.0,1.0,73.0,2.0,14.6,2.0
5,6.0,4.0,31.5,126.0,5.25,21.0,5.0,33.2,166.0,7.0,35.0,3.0,28.66666666666667,86.0,12.333333333333336,37.0,10.0,68.6,686.0,20.3,203.0,0.0,0.0,0.0,0.0,0.0,10.0,60.9,609.0,16.0,160.0,0.0,0.0,0.0,0.0,0.0,10.0,106.3,1063.0,33.6,336.0,12.0,49.58333333333334,595.0,13.416666666666664,161.0,106186,15889,218.48971193415642,32.693415637860085,486,Democratic Party,Female,20.0,22.0,2168.0,1360.0,108.4,61.81818181818182
6,8.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,54.0,4.0,12.0,3.0,20.0,60.0,5.333333333333333,16.0,1.0,18.0,18.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,72.0,5.125,41.0,0.0,0.0,0.0,0.0,0.0,2.0,113.0,226.0,31.5,63.0,2.0,6.5,13.0,2.0,4.0,10230,5607,63.148148148148145,34.611111111111114,162,Republican Party,Male,10.0,7.0,402.0,167.0,40.2,23.857142857142854
7,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1815.0,1815.0,870.0,870.0,1.0,24.0,24.0,2.0,2.0,7.0,20.142857142857142,141.0,6.0,42.0,1.0,12.0,12.0,2.0,2.0,14.0,30.42857142857143,426.0,10.785714285714288,151.0,0.0,0.0,0.0,0.0,0.0,8.0,65.625,525.0,21.875,175.0,2.0,15.0,30.0,4.5,9.0,19278,8558,59.13496932515337,26.25153374233129,326,Republican Party,Male,23.0,9.0,1291.0,2894.0,56.1304347826087,321.5555555555556
8,11.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,39.0,1.6666666666666667,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,1.0,5.0,8.6,43.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,9.5,19.0,4.0,8.0,1.0,3.0,3.0,0.0,0.0,2744,576,13.928934010152284,2.9238578680203045,197,Republican Party,Male,8.0,3.0,85.0,44.0,10.625,14.666666666666664
9,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.5,3.0,0.0,0.0,4.0,0.5,2.0,0.25,1.0,2.0,1.5,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.5,1.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,670,249,2.9910714285714284,1.1116071428571428,224,Republican Party,Male,9.0,3.0,7.0,3.0,0.7777777777777778,1.0
10,13.0,1.0,4.0,4.0,0.0,0.0,2.0,5.5,11.0,0.5,1.0,3.0,6.333333333333332,19.0,1.6666666666666667,5.0,0.0,0.0,0.0,0.0,0.0,2.0,4.5,9.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,881,253,5.952702702702703,1.7094594594594594,148,Republican Party,Male,2.0,6.0,11.0,40.0,5.5,6.666666666666668
11,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9.0,4.222222222222221,38.0,2.888888888888889,26.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,566,366,3.309941520467836,2.1403508771929824,171,Republican Party,Male,11.0,0.0,67.0,0.0,6.090909090909091,
12,18.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,50,1.5,1.9230769230769231,26,Republican Party,Male,2.0,3.0,2.0,7.0,1.0,2.333333333333333
