Unnamed: 0,candidate_id,womens_rights_count,womens_rights_average_favorites,womens_rights_sum_favorites,womens_rights_average_retweets,womens_rights_sum_retweets,familycare_count,familycare_average_favorites,familycare_sum_favorites,familycare_average_retweets,familycare_sum_retweets,education_count,education_average_favorites,education_sum_favorites,education_average_retweets,education_sum_retweets,healthcare_count,healthcare_average_favorites,healthcare_sum_favorites,healthcare_average_retweets,healthcare_sum_retweets,military_count,military_average_favorites,military_sum_favorites,military_average_retweets,military_sum_retweets,economics_count,economics_average_favorites,economics_sum_favorites,economics_average_retweets,economics_sum_retweets,foreign_affairs_count,foreign_affairs_average_favorites,foreign_affairs_sum_favorites,foreign_affairs_average_retweets,foreign_affairs_sum_retweets,policing_count,policing_average_favorites,policing_sum_favorites,policing_average_retweets,policing_sum_retweets,covid_count,covid_average_favorites,covid_sum_favorites,covid_average_retweets,covid_sum_retweets,total_candidate_favorites,total_candidate_retweets,mean_candidate_favorites,mean_candidate_retweets,total_tweets,party,gender,masculine_count,feminine_count,masculine_total_engagement,feminine_total_engagement,masculine_average_engagement,feminine_average_engagement
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,23,8,2.555555555555556,0.8888888888888888,9,Democratic Party,Male,0.0,0.0,0.0,0.0,,
1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,30.0,2.5,5.0,4.0,15.0,60.0,4.25,17.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,14.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2813,638,23.057377049180328,5.229508196721312,122,Democratic Party,Female,2.0,6.0,15.0,112.0,7.5,18.666666666666668
2,3.0,1.0,7.0,7.0,1.0,1.0,2.0,1.5,3.0,1.5,3.0,1.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760,332,8.539325842696629,3.730337078651685,89,Democratic Party,Female,0.0,5.0,0.0,23.0,,4.6
3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,114,41,12.666666666666664,4.5555555555555545,9,Democratic Party,Male,0.0,0.0,0.0,0.0,,
4,6.0,1.0,16.0,16.0,5.0,5.0,2.0,42.5,85.0,11.5,23.0,3.0,15.666666666666664,47.0,11.666666666666664,35.0,5.0,36.4,182.0,15.4,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,61.0,61.0,116.0,116.0,5.0,118.0,590.0,43.2,216.0,9203,3425,51.12777777777778,19.027777777777782,180,Democratic Party,Female,1.0,11.0,177.0,470.0,177.0,42.72727272727273
5,8.0,0.0,0.0,0.0,0.0,0.0,3.0,3.333333333333333,10.0,2.333333333333333,7.0,5.0,20.2,101.0,8.2,41.0,3.0,20.33333333333333,61.0,11.0,33.0,2.0,20.0,40.0,6.0,12.0,9.0,14.888888888888891,134.0,7.222222222222222,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.5,116.0,6.5,52.0,6513,3134,42.01935483870968,20.21935483870968,155,Republican Party,Male,11.0,11.0,251.0,253.0,22.818181818181817,23.0
6,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,28.285714285714285,198.0,7.0,49.0,0.0,0.0,0.0,0.0,0.0,5.0,43.2,216.0,17.0,85.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,18.0,7.0,7.0,5.0,29.2,146.0,11.4,57.0,4359,1747,29.06,11.646666666666668,150,Republican Party,Male,6.0,7.0,326.0,247.0,54.33333333333334,35.285714285714285
7,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.5,13.0,2.0,4.0,67,15,6.7,1.5,10,Republican Party,Male,1.0,0.0,1.0,0.0,1.0,
8,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.8571428571428571,6.0,0.14285714285714285,1.0,137,89,1.4421052631578948,0.936842105263158,95,Republican Party,Male,2.0,3.0,8.0,8.0,4.0,2.6666666666666665
9,13.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,7.166666666666668,43.0,1.8333333333333333,11.0,0.0,0.0,0.0,0.0,0.0,3.0,8.333333333333334,25.0,2.333333333333333,7.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,1.0,1.0,3.0,2.6666666666666665,8.0,0.6666666666666666,2.0,512,159,5.953488372093022,1.848837209302325,86,Republican Party,Male,4.0,7.0,40.0,63.0,10.0,9.0
10,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,16,1.7692307692307692,1.2307692307692308,13,Republican Party,Female,1.0,0.0,6.0,0.0,6.0,
11,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.9090909090909087,21.0,1.5454545454545454,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.8,4.0,0.2,1.0,685,363,3.914285714285714,2.0742857142857143,175,Republican Party,Male,11.0,3.0,38.0,2.0,3.4545454545454546,0.6666666666666666
12,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.5,11.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,46,1.71875,1.4375,32,Republican Party,Male,2.0,0.0,23.0,0.0,11.5,
13,20.0,1.0,14.0,14.0,3.0,3.0,3.0,12.666666666666664,38.0,1.6666666666666667,5.0,0.0,0.0,0.0,0.0,0.0,3.0,4.666666666666667,14.0,2.6666666666666665,8.0,0.0,0.0,0.0,0.0,0.0,9.0,6.222222222222222,56.0,4.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,8.0,2.5,5.0,1552,577,16.869565217391305,6.271739130434782,92,Republican Party,Male,9.0,7.0,92.0,82.0,10.222222222222221,11.714285714285715
14,23.0,2.0,2.5,5.0,1.5,3.0,1.0,5.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,19.25,308.0,6.0625,97.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,7.0,14.0,2.5,5.0,1811,575,12.404109589041095,3.9383561643835616,146,Republican Party,Male,17.0,6.0,408.0,21.0,24.0,3.5
15,24.0,2.0,37.5,75.0,3.0,6.0,5.0,33.8,169.0,1.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,56.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2194,298,51.0232558139535,6.930232558139535,43,Republican Party,Female,2.0,7.0,60.0,256.0,30.0,36.57142857142857
16,27.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,2.2,11.0,0.8,4.0,1.0,13.0,13.0,3.0,3.0,5.0,19.6,98.0,6.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1124,349,8.388059701492537,2.6044776119402986,134,Republican Party,Male,6.0,9.0,144.0,31.0,24.0,3.4444444444444446
17,28.0,1.0,26.0,26.0,3.0,3.0,2.0,3.5,7.0,0.0,0.0,3.0,5.0,15.0,0.3333333333333333,1.0,6.0,12.833333333333336,77.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,2459,717,21.382608695652173,6.234782608695652,115,Nonpartisan,Male,1.0,12.0,4.0,135.0,4.0,11.25
18,30.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,17.0,5.0,5.0,1.0,12.0,12.0,1.0,1.0,19.0,112.68421052631581,2141.0,32.10526315789474,610.0,2.0,793.5,1587.0,283.5,567.0,10.0,27.0,270.0,8.8,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,21.66666666666667,260.0,8.666666666666666,104.0,16886,7752,70.65271966527195,32.43514644351465,239,Democratic Party,Male,12.0,21.0,2512.0,2786.0,209.33333333333331,132.66666666666666
19,31.0,0.0,0.0,0.0,0.0,0.0,4.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.3333333333333333,1.0,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.5,1.0,24,16,0.32432432432432434,0.21621621621621626,74,Democratic Party,Male,3.0,7.0,0.0,5.0,0.0,0.7142857142857143
20,33.0,1.0,20.0,20.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,27.25,218.0,8.875,71.0,22.0,46.09090909090909,1014.0,21.772727272727273,479.0,0.0,0.0,0.0,0.0,0.0,12.0,32.0,384.0,12.25,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,25.9,259.0,9.6,96.0,14816,7711,53.29496402877698,27.737410071942445,278,Democratic Party,Male,12.0,31.0,531.0,1807.0,44.25,58.29032258064516
